population,road,year,nl_med,fl_area,x,constituency_fe,ny_group,ny_group2,treat
2141.1257,.48795182,2011,4.1066136,0,0,375,0,,0
2141.1257,.48795182,2012,5.8380952,,0,375,0,,0
2141.1257,.48795182,2013,5.5088387,.02,.02,375,0,,0
4899.9429,.4848485,2011,3.5752947,0,0,380,0,,0
4899.9429,.4848485,2012,4.5418291,,0,380,0,,0
4899.9429,.4848485,2013,4.4210677,.0099999998,.0099999998,380,0,,0
4564.1665,.29411766,2011,5.3621936,0,0,383,0,,0
4564.1665,.29411766,2012,6.9785051,,0,383,0,,0
4564.1665,.29411766,2013,6.3333335,.0099999998,.0099999998,383,0,,0
3819.9167,.37804878,2011,5.5259256,0,0,384,0,,0
3819.9167,.37804878,2012,6.9118719,,0,384,0,,0
3819.9167,.37804878,2013,6.3249998,.079999998,.079999998,384,0,,0
3831.2698,.56321841,2011,5.060185,0,0,385,0,,0
3831.2698,.56321841,2012,6.061111,,0,385,0,,0
3831.2698,.56321841,2013,5.8777781,.98000002,.98000002,385,0,,0
19170.518,.72000003,2011,4.9490738,0,0,386,0,,0
19170.518,.72000003,2012,6.9045668,,0,386,0,,0
19170.518,.72000003,2013,5.8553662,2.24,2.24,386,0,,0
3146.6414,.56179774,2011,4.8060184,0,0,389,0,,0
3146.6414,.56179774,2012,5.8240738,,0,389,0,,0
3146.6414,.56179774,2013,5.3041396,.63,.63,389,0,,0
1822.9641,.71515149,2011,7.0355487,0,0,396,0,,0
1822.9641,.71515149,2012,8.7655306,,0,396,0,,0
1822.9641,.71515149,2013,7.5985751,.02,.02,396,0,,0
2495.554,.37984496,2011,4.9023571,0,0,397,0,,0
2495.554,.37984496,2012,6.5972643,,0,397,0,,0
2495.554,.37984496,2013,6.0631313,.41,.41,397,0,,0
3710.4941,.39534885,2011,4.9045033,0,0,398,0,,0
3710.4941,.39534885,2012,6.1649833,,0,398,0,,0
3710.4941,.39534885,2013,5.3861833,.79000002,.79000002,398,0,,0
2264.125,.4125874,2011,4.6739478,0,0,399,0,,0
2264.125,.4125874,2012,6.0705385,,0,399,0,,0
2264.125,.4125874,2013,5.560606,2.3099999,2.3099999,399,0,,0
1665.0347,.45049506,2011,5.1480217,0,0,400,0,,0
1665.0347,.45049506,2012,6.9714289,,0,400,0,,0
1665.0347,.45049506,2013,6.6990528,6.0500002,6.0500002,400,0,,0
2143.9106,.53293413,2011,5.7665944,0,0,401,0,,0
2143.9106,.53293413,2012,7.6050262,,0,401,0,,0
2143.9106,.53293413,2013,7.8978086,5.4699998,5.4699998,401,0,,0
1570.5845,.47488585,2011,5.8231483,0,0,402,0,,0
1570.5845,.47488585,2012,8.0023813,,0,402,0,,0
1570.5845,.47488585,2013,7.4704542,.40000001,.40000001,402,0,,0
851.17499,.43437499,2011,4.2043834,0,0,407,0,,0
851.17499,.43437499,2012,6.0663061,,0,407,0,,0
851.17499,.43437499,2013,5.7463202,.43000001,.43000001,407,0,,0
760.53265,.44078946,2011,4.4088926,0,0,409,0,,0
760.53265,.44078946,2012,6.2071428,,0,409,0,,0
760.53265,.44078946,2013,5.4922261,.0099999998,.0099999998,409,0,,0
7040.1304,.41304347,2011,4.6236954,0,0,445,0,,0
7040.1304,.41304347,2012,5.677381,,0,445,0,,0
7040.1304,.41304347,2013,5.627841,.20999999,.20999999,445,0,,0
670.71155,.60385442,2009,4.0258837,,0,683,2011,2011,1
670.71155,.60385442,2010,3.5875001,,0,683,2011,2011,1
670.71155,.60385442,2011,4.15873,.0099999998,.0099999998,683,2011,2011,1
670.71155,.60385442,2012,4.2316918,,0,683,2011,2011,1
670.71155,.60385442,2013,3.6776557,0,0,683,2011,2011,1
876.72064,.83174604,2009,4.2791667,,0,684,2011,2011,1
876.72064,.83174604,2010,3.9820106,,0,684,2011,2011,1
876.72064,.83174604,2011,4.0320435,2.0599999,2.0599999,684,2011,2011,1
876.72064,.83174604,2012,4.8796959,,0,684,2011,2011,1
876.72064,.83174604,2013,4.0598292,.22,.22,684,2011,2011,1
930.02832,.76656151,2009,3.7805555,,0,685,2011,2011,1
930.02832,.76656151,2010,3.8583333,,0,685,2011,2011,1
930.02832,.76656151,2011,3.850992,2.2,2.2,685,2011,2011,1
930.02832,.76656151,2012,4.7238097,,0,685,2011,2011,1
930.02832,.76656151,2013,4.224359,.11,.11,685,2011,2011,1
545.49176,.69547325,2009,4.7652779,,0,690,2011,2011,1
545.49176,.69547325,2010,4.2476854,,0,690,2011,2011,1
545.49176,.69547325,2011,4.052381,.50999999,.50999999,690,2011,2011,1
545.49176,.69547325,2012,4.4994049,,0,690,2011,2011,1
545.49176,.69547325,2013,4.2591577,0,0,690,2011,2011,1
523.86914,.58504671,2009,3.9861112,,0,692,2011,2011,1
523.86914,.58504671,2010,3.6046295,,0,692,2011,2011,1
523.86914,.58504671,2011,3.7995372,.86000001,.86000001,692,2011,2011,1
523.86914,.58504671,2012,4.1666665,,0,692,2011,2011,1
523.86914,.58504671,2013,3.9133089,0,0,692,2011,2011,1
753.99164,.67688024,2009,4.3746033,,0,693,2011,2011,1
753.99164,.67688024,2010,3.4342592,,0,693,2011,2011,1
753.99164,.67688024,2011,4.090476,.31,.31,693,2011,2011,1
