state_code,year,nl_med,num_const,num_flood,num_firstflood
0,2008,2.6093011,243,233,233
0,2009,4.3542714,243,168,0
18,2008,2.9582307,126,124,124
18,2009,4.7344971,126,108,0
18,2010,4.6097045,126,114,2
18,2011,4.4851699,126,104,0
18,2012,5.3937874,126,124,0
18,2013,5.1313386,126,115,0
19,2011,11.253059,294,180,180
19,2012,12.692327,294,0,0
19,2013,13.108033,294,111,18
21,2009,5.1470275,147,0,0
21,2010,5.5698743,147,0,0
21,2011,5.3233624,147,84,84
21,2012,6.2533126,147,0,0
21,2013,5.6112814,147,67,3
28,2009,12.068471,294,0,0
28,2010,10.655933,294,0,0
28,2011,10.098146,294,0,0
28,2012,11.182502,294,82,82
28,2013,9.5476818,294,44,8
