constituency_fe,ec13_emp_all,pc11_pca_tot_p,pc11_pca_tot_p_r,pc11_pca_tot_p_u,pc11_pca_p_lit,pc11_vd_p_sch,pc11_vd_m_sch,pc11_vd_s_sch,pc11_vd_s_s_sch,pc11_vd_tar_road,pc11_vd_power_all
1,84.897438,1426.325,1092.5,7769,733.75,2.4210527,1.9210526,.23684211,.078947365,.28947368,1
2,174.59184,4200.7959,3843.8818,10839.4,2062.3469,3.7634408,2.6666667,.40860215,.10752688,.47311828,.98924732
3,111.09091,2477.5,2477.5,,1211.6666,2.75,1.75,.25,0,.41666666,1
4,153.78481,2733.3545,2336.3311,18018.75,1460.7721,3.0129869,2.1883116,.31818181,.11038961,.61038959,1
5,93.479286,1434.6353,1401.6154,7015,780.11768,2.0946746,1.4319527,.27218935,.082840234,.60946745,1
6,74.821053,1556.5052,1473.4255,9366,772.25262,2.4361701,1.0106384,.26595744,.074468084,.34042552,.9893617
7,394.5,3437.5833,1494.8286,71434,2117.1111,2.057143,1.5142857,.45714286,.11428571,.34285715,1
8,427.93616,5163.2085,3131.6135,27510.75,2653.5833,3.0227273,1.7727273,.31818181,.045454547,.56818181,.97727275
9,60.57143,1270.2142,1270.2142,,728.67859,2.6785715,1.9642857,.35714287,.10714286,.17857143,.96428573
10,155.73334,4079.9375,4079.9375,,1777.625,4.375,1.8125,.5625,.125,.3125,1
11,132.52632,1755.0702,1755.0702,,920.38599,2.5438597,1.8596492,.24561404,.14035088,.36842105,1
12,134.42969,1068.8,1027.4141,3717.5,543.90771,1.421875,.890625,.140625,.0390625,.5234375,.9921875
13,217.25287,2164.3794,1963.2118,10714,1083.8506,2.6352942,1.5411764,.41176471,.094117649,.72941178,1
14,119.5946,2491.0527,2491.0527,,1109.6842,4.5526314,1.8684211,.31578946,.052631579,.68421054,1
15,196.53334,1573.1333,1573.1333,,748.53333,1.4666667,1.2,.13333334,0,.66666669,1
16,191.89999,1749.3,1749.3,,877,1.9,.5,.5,.1,1,1
17,101.8,1708.6,1708.6,,949.79999,1.8,1.2,.40000001,0,.80000001,1
18,116.4375,2039.1219,1772.85,8460,893.03656,2.1624999,1.475,.30000001,.1125,.58749998,1
19,105.58974,1038.4872,1038.4872,,354.94873,1.7948718,1,.07692308,.07692308,.61538464,1
20,192.73599,2432.6509,2065.5771,17482.666,1246.0317,2.0081301,1.3902439,.34959349,.08130081,.65853661,1
21,196.66142,1814.0472,1527.7903,13646,996.78741,1.717742,.87903225,.25806451,.064516127,.66935486,1
22,94.710464,1241.2548,1145.2355,11131.25,632.5553,1.6092232,.98058254,.28155339,.055825241,.60436893,1
23,68,3237,3237,,309,0,0,0,0,0,0
24,61,2728.4666,2728.4666,,1135.4,2.2666667,1.1333333,.26666668,0,.80000001,.93333334
25,73.769234,2439.6155,2439.6155,,841.4231,2.2307692,1.5384616,.34615386,.03846154,.15384616,1
26,107.89474,2332.1052,2332.1052,,987.5965,2.2105262,1.8070176,.24561404,.10526316,.59649122,1
27,222.51898,2451.4558,1888.1466,13013.5,1364.5696,1.8266667,1.64,.31999999,.053333335,.65333331,1
28,211.06557,3093.9683,2442.0166,16133,1639.9524,2.5333333,2.0666666,.34999999,.083333336,.76666665,1
29,132.51428,1914.1428,1680.1177,9871,908.45715,1.7352941,1.0882353,.23529412,.14705883,.70588237,1
30,175.78572,3894.4285,3894.4285,,1599.9286,2.8571429,2.2142856,.2857143,.14285715,.42857143,.9285714
31,285.66666,5724.3335,5724.3335,,2083.6667,2.6666667,2,1,0,0,1
32,168.9375,3862.0881,3780.5454,6553,1456.9706,3.6969697,2.7878788,.45454547,.21212122,.75757575,.969697
33,368.69232,3744.3516,1962.1023,56023.668,2165.8901,1.7045455,2.0227273,.26136363,.06818182,.79545456,1
34,148.68182,1463.8182,1157.738,7891.5,646.34088,1.2857143,1.3571428,.14285715,.023809524,.85714287,1
35,234.89473,2043.65,1291.3158,16338,1314.95,2.5789473,1.8947369,.42105263,.2631579,.63157892,1
36,148.90909,1119.2374,808.11029,15223.667,774.0863,2.3161764,1.1985294,.375,.11029412,.54411763,1
37,64.277779,1221.5555,1221.5555,,907.38892,1.7222222,2.0555556,.3888889,.055555556,.5,1
38,56.147541,890.83606,890.83606,,475.16394,2.3934426,1.3770492,.3114754,.065573767,.21311475,1
39,45.882355,817.58826,817.58826,,364.41177,1.7254902,1.0392157,.19607843,.078431375,.15686275,.98039216
40,73.639999,1438.7307,1438.7307,,560.76923,2.5,1.8076923,.42307693,.26923078,.03846154,1
41,60.324001,1016.2874,923.94592,12974.5,572.00385,2.1351352,1.1042471,.28957528,.073359072,.18604651,1
42,30.776596,1067.0313,1067.0313,,468.61459,2.2916667,1.0416666,.41666666,.10416666,.072916664,.98958331
43,85.557968,1568.0411,1394.5315,9838.667,818.78766,2.8041959,1.4405594,.32167831,.12587413,.20979021,1
44,117.82927,3450.0227,3439.5581,3900,1450.6818,5.6976743,2.4186046,.6511628,.18604651,.3255814,.97674417
45,43.204544,1238.6171,1238.6171,,418.93616,1.8297873,.91489363,.21276596,.08510638,.08510638,1
46,115.3046,1109.7845,982.3446,5399.2002,608.0387,1.7118644,1.1638418,.32203391,.084745765,.38418078,1
47,69.646156,1804.1384,1804.1384,,828.20001,2.1538463,1.4461539,.40000001,.13846155,.2923077,1
48,175.43956,2186.2581,1241.1208,45190,1512.3978,2.3296704,1.021978,.29670331,.043956045,.75824177,1
49,73.277229,1484.6204,1473.151,2092.5,692.19446,2.6698112,1.0943396,.29245284,.066037737,.36792454,1
50,65.449997,1468.9,1407.8481,6292,784.97498,3.0126581,1.4303797,.31645569,.088607594,.25316456,1
51,91.017548,1777.4407,1714.4138,5433,844.06781,2.5,.39655173,.37931034,.10344828,.43103448,1
52,190.98781,1765.625,1728.7012,4978,1055.3977,2.7356322,.55172414,.52873564,.10344828,.41379312,1
53,65.605713,698.15466,658.79791,8294,502.64948,1.4715025,.41450778,.25906736,.11398964,.7150259,1
54,142.728,1018.4648,891.03571,9938.5,683.66199,1.7642857,.72857141,.32857144,.15000001,.72142857,1
55,377.6076,1302,981.43823,8434.5,967.31183,1.0337079,.7977528,.34831461,.14606741,.88764048,1
56,50.581635,770.60529,770.60529,,557.30701,1.3070176,.71052629,.21052632,.061403509,.89473683,1
57,119.27778,1707.6301,1351.5735,6550,1265.5753,1.7794118,1.1029412,.29411766,.11764706,.92647058,1
58,82.171638,1005.2701,900.91913,15197,735.16058,1.6323529,1.0220588,.39705881,.05882353,.875,1
59,65.73333,778.5658,736.35999,3944,532.97369,1.0533333,.45333335,.21333334,.093333334,.77333331,1
60,163.97437,1646.4872,1237.0264,17206,1181.2693,1.5789474,.80263156,.43421054,.065789476,.92105263,1
61,91.990829,1327.6434,1157.2192,20756,904.99133,2.1929824,.93859649,.39473686,.096491225,.86842108,1
62,70.760414,1222.4242,1135.6185,5432.5,838.34344,2.0824742,1.1546391,.3298969,.10309278,.89690721,1
63,119.0685,1631.8134,1439.0137,8669,1108.1067,2,.98630136,.28767124,.06849315,.60273975,1
64,61.634148,1995.5476,1995.5476,,784.7619,2.9047618,1.4285715,.38095239,.21428572,.42857143,1
65,113.26891,2072.0901,1815.1583,17488,1210.4263,2.8416667,1.4,.36666667,.175,.625,1
66,61.096153,1162.8,1162.8,,645.27271,1.9545455,.82727271,.22727273,.063636363,.54545456,1
67,105.64935,2686.5442,2634.5386,6743,1379.0507,4.4615383,2.0384614,.44871795,.11538462,.67948717,1
68,151.2683,3552.561,3515.55,5033,2082.8049,6.1750002,2.5,.55000001,.1,.80000001,1
69,197.82608,2603.1702,2075.9783,26854,1445.4255,4.0434785,2.347826,.32608697,.13043478,.89130437,1
