year,constituency_fe,nl_med,flood,fl_area,ruling,margin,district_code,flarea_affil,num_const,num_flood,num_firstflood,treat_2011,treat_2012,nytreat_2011,nytreat_2012,nevtreat_2011,nevtreat_2012,flarea2011,flarea2012,ny_group,nev_group
2008,1,2.3545165,1,.0099999998,0,-.12340583,25,0,243,233,233,,,,,,,,,,
2009,1,3.8544445,0,0,0,-.12340583,25,0,243,168,0,,,,,,,,,,
2008,2,2.2486362,0,0,1,.15338103,25,0,243,233,233,0,0,,,0,0,,,,0
2009,2,3.885,0,0,1,.15338103,25,0,243,168,0,0,0,,,0,0,,,,0
2008,3,2.0902021,1,.059999999,1,.0087913983,25,.059999999,243,233,233,,,,,,,,,,
2009,3,3.5899999,1,.31999999,1,.0087913983,25,.31999999,243,168,0,,,,,,,,,,
2008,4,2.3269842,1,.52999997,1,.053426344,25,.52999997,243,233,233,,,,,,,,,,
2009,4,3.7651515,1,.41999999,1,.053426344,25,.41999999,243,168,0,,,,,,,,,,
2008,5,2.3194444,1,21.09,0,-.10948079,25,0,243,233,233,,,,,,,,,,
2009,5,3.6522222,1,8.0799999,0,-.10948079,25,0,243,168,0,,,,,,,,,,
2008,6,2.3655555,1,1.1900001,1,.020606382,25,1.1900001,243,233,233,,,,,,,,,,
2009,6,4.0666666,1,.75999999,1,.020606382,25,.75999999,243,168,0,,,,,,,,,,
2008,7,2.6031313,1,7.3600001,1,.23497231,25,7.3600001,243,233,233,,,,,,,,,,
2009,7,4.3961616,1,3.6600001,1,.23497231,25,3.6600001,243,168,0,,,,,,,,,,
2008,8,2.5838962,1,5.1799998,1,.14284599,25,5.1799998,243,233,233,,,,,,,,,,
2009,8,4.3203464,1,1.91,1,.14284599,25,1.91,243,168,0,,,,,,,,,,
2008,9,2.3530736,1,.31,1,.056058861,25,.31,243,233,233,,,,,,,,,,
2009,9,4.1849999,1,.37,1,.056058861,25,.37,243,168,0,,,,,,,,,,
2008,10,2.4141414,1,36.779999,1,.087267734,27,36.779999,243,233,233,,,,,,,,,,
2009,10,3.9144444,1,18.610001,1,.087267734,27,18.610001,243,168,0,,,,,,,,,,
2008,11,2.5085859,1,18.93,1,.059676547,27,18.93,243,233,233,,,,,,,,,,
2009,11,4.2455554,1,6.04,1,.059676547,27,6.04,243,168,0,,,,,,,,,,
2008,12,2.8111689,1,18.129999,1,.16786261,27,18.129999,243,233,233,,,,,,,,,,
2009,12,4.7862339,1,11.85,1,.16786261,27,11.85,243,168,0,,,,,,,,,,
2008,13,2.245707,1,27.389999,1,.14528294,27,27.389999,243,233,233,,,,,,,,,,
2009,13,3.6611111,1,24.389999,1,.14528294,27,24.389999,243,168,0,,,,,,,,,,
2008,14,2.5167677,1,17.610001,1,.026250562,27,17.610001,243,233,233,,,,,,,,,,
2009,14,3.9222221,1,18.74,1,.026250562,27,18.74,243,168,0,,,,,,,,,,
2008,15,2.3111112,1,25.540001,0,-.0083674267,27,0,243,233,233,,,,,,,,,,
2009,15,3.7685714,1,20.27,0,-.0083674267,27,0,243,168,0,,,,,,,,,,
2008,16,2.6131313,1,2.8800001,1,.19348559,27,2.8800001,243,233,233,,,,,,,,,,
2009,16,4.4425397,1,.14,1,.19348559,27,.14,243,168,0,,,,,,,,,,
